"Name","Component","Side","Place X","Place Y","Rotation"
"Q1","2N2222A","Top","3.845","0.915","0.00"
"Q2","2N2222A","Top","3.845","1.445","0.00"
"R1","0603_SMT_RESISTOR","Top","1.715","2.320","270.00"
"R2","0603_SMT_RESISTOR","Top","1.715","2.245","270.00"
"R3","0603_SMT_RESISTOR","Top","1.715","2.170","270.00"
"R4","0603_SMT_RESISTOR","Top","0.980","2.270","270.00"
"R5","0603_SMT_RESISTOR","Top","0.980","2.170","270.00"
"R6","0603_SMT_RESISTOR","Top","0.980","2.370","270.00"
"R7","0603_SMT_RESISTOR","Top","0.980","2.658","270.00"
"R8","0603_SMT_RESISTOR","Top","0.980","2.558","270.00"
"R9","0603_SMT_RESISTOR","Top","0.980","2.757","270.00"
"R10","0603_SMT_RESISTOR","Top","1.725","2.700","270.00"
"R11","0603_SMT_RESISTOR","Top","1.720","2.630","270.00"
"R12","0603_SMT_RESISTOR","Top","1.720","2.560","270.00"
"R13","0603_SMT_RESISTOR","Top","0.980","3.033","270.00"
"R14","0603_SMT_RESISTOR","Top","0.980","2.933","270.00"
"R15","0603_SMT_RESISTOR","Top","0.980","3.132","270.00"
"R16","0603_SMT_RESISTOR","Top","1.725","3.105","270.00"
"R17","0603_SMT_RESISTOR","Top","1.725","3.030","270.00"
"R18","0603_SMT_RESISTOR","Top","1.725","2.955","270.00"
"R19","0603_SMT_RESISTOR","Top","1.570","3.600","270.00"
"R20","0603_SMT_RESISTOR","Top","1.265","3.600","90.00"
"R21","0603_SMT_RESISTOR","Top","3.735","3.600","270.00"
"R22","0603_SMT_RESISTOR","Top","3.430","3.600","90.00"
"R23","0603_SMT_RESISTOR","Top","2.890","3.220","0.00"
"R24","0603_SMT_RESISTOR","Top","2.820","3.220","0.00"
"R25","0603_SMT_RESISTOR","Top","2.290","3.220","0.00"
"R26","0603_SMT_RESISTOR","Top","4.145","0.965","90.00"
"R27","0603_SMT_RESISTOR","Top","4.145","0.895","90.00"
"R28","0603_SMT_RESISTOR","Top","3.490","0.940","270.00"
"R29","0603_SMT_RESISTOR","Top","3.490","0.870","270.00"
"R30","0603_SMT_RESISTOR","Top","4.145","1.495","90.00"
"R31","0603_SMT_RESISTOR","Top","4.145","1.425","90.00"
"R32","0603_SMT_RESISTOR","Top","3.490","1.485","270.00"
"R33","0603_SMT_RESISTOR","Top","3.490","1.410","270.00"
"R34","0603_SMT_RESISTOR","Top","1.565","1.085","0.00"
"R35","0603_SMT_RESISTOR","Top","1.565","0.745","0.00"
